Date,Open,High,Low,Close,Adj Close,Volume
2017-09-11,null,null,null,null,null,null
2017-09-12,161.550003,161.550003,158.449997,158.699997,158.699997,95141
2017-09-13,158.500000,158.699997,155.350006,156.550003,156.550003,381450
2017-09-14,156.000000,156.750000,154.649994,156.750000,156.750000,221089
2017-09-15,156.550003,156.699997,155.550003,156.000000,156.000000,189317
2017-09-18,156.449997,158.750000,156.399994,158.449997,158.449997,246564
2017-09-19,158.750000,159.050003,156.000000,156.000000,156.000000,207484
2017-09-20,156.149994,156.649994,154.899994,155.250000,155.250000,212690
2017-09-21,155.000000,155.449997,153.100006,154.699997,154.699997,161026
2017-09-22,154.750000,156.399994,154.649994,155.300003,155.300003,114113
2017-09-25,155.250000,155.250000,153.399994,154.550003,154.550003,606646
2017-09-26,154.550003,154.850006,150.899994,151.000000,151.000000,317058
2017-09-27,149.500000,154.050003,147.949997,153.850006,153.850006,616362
2017-09-28,153.300003,153.850006,152.399994,153.050003,153.050003,168342
2017-09-29,152.949997,153.500000,151.949997,152.750000,152.750000,274296
2017-10-02,151.750000,152.000000,149.149994,151.699997,151.699997,243980
2017-10-03,150.000000,153.000000,149.850006,151.300003,151.300003,220071
2017-10-04,151.000000,151.000000,147.050003,147.750000,147.750000,448303
2017-10-05,147.350006,152.199997,146.550003,151.449997,151.449997,315156
2017-10-06,151.199997,151.949997,150.149994,151.500000,151.500000,355955
2017-10-09,151.899994,152.850006,150.500000,150.949997,150.949997,169006
2017-10-10,150.550003,152.550003,149.949997,151.000000,151.000000,167653
2017-10-11,151.649994,153.000000,150.699997,151.149994,151.149994,380193
2017-10-12,151.149994,152.399994,150.949997,151.800003,151.800003,109590
2017-10-13,152.800003,152.800003,150.250000,152.100006,152.100006,138169
2017-10-16,151.399994,152.000000,150.899994,151.149994,151.149994,121122
2017-10-17,150.949997,153.399994,150.949997,152.100006,152.100006,165776
2017-10-18,152.199997,154.050003,151.899994,153.699997,153.699997,131882
2017-10-19,152.850006,153.399994,151.350006,153.149994,153.149994,166934
2017-10-20,152.949997,153.949997,151.899994,153.649994,153.649994,172944
2017-10-23,153.500000,153.500000,151.100006,151.600006,151.600006,131524
2017-10-24,151.149994,153.149994,151.100006,153.000000,153.000000,328264
2017-10-25,153.000000,153.399994,148.100006,150.050003,150.050003,365594
2017-10-26,150.000000,154.250000,149.550003,154.000000,154.000000,262760
2017-10-27,154.649994,155.500000,151.449997,151.550003,151.550003,276513
2017-10-30,153.500000,154.250000,152.050003,153.949997,153.949997,166772
2017-10-31,154.600006,157.500000,153.800003,157.500000,157.500000,310402
2017-11-01,159.350006,159.949997,157.750000,158.649994,158.649994,189466
2017-11-02,158.750000,159.449997,157.949997,159.000000,159.000000,149462
2017-11-03,159.600006,160.100006,158.050003,159.899994,159.899994,144678
2017-11-06,160.250000,162.050003,159.350006,160.649994,160.649994,302242
2017-11-07,161.199997,161.250000,159.250000,159.600006,159.600006,110321
2017-11-08,159.899994,162.500000,159.350006,162.500000,162.500000,233223
2017-11-09,162.550003,162.899994,161.449997,162.850006,162.850006,168528
2017-11-10,161.899994,162.300003,159.399994,160.000000,160.000000,194207
2017-11-13,159.899994,160.600006,159.300003,159.800003,159.800003,173136
2017-11-14,160.550003,160.550003,158.949997,159.399994,159.399994,103972
2017-11-15,158.050003,159.199997,158.000000,158.550003,158.550003,134009
2017-11-16,159.000000,161.649994,158.399994,160.850006,160.850006,429469
2017-11-17,161.250000,161.350006,159.149994,160.300003,160.300003,180012
2017-11-20,160.100006,161.149994,159.500000,159.899994,159.899994,121453
2017-11-21,160.000000,161.250000,159.649994,160.500000,160.500000,97510
2017-11-22,160.649994,162.050003,160.050003,161.050003,161.050003,137955
2017-11-23,160.750000,161.649994,160.149994,161.500000,161.500000,104358
2017-11-24,161.350006,161.750000,160.550003,161.449997,161.449997,149004
2017-11-27,160.899994,163.350006,160.050003,161.899994,161.899994,95483
2017-11-28,162.050003,164.449997,161.250000,164.000000,164.000000,220762
2017-11-29,167.300003,172.000000,166.600006,169.399994,169.399994,709108
2017-11-30,169.500000,170.300003,167.149994,167.149994,167.149994,423548
2017-12-01,167.949997,168.800003,166.500000,166.500000,166.500000,217436
2017-12-04,167.649994,170.750000,167.300003,169.399994,169.399994,133397
2017-12-05,169.000000,170.100006,168.350006,168.550003,168.550003,202162
2017-12-06,167.399994,170.449997,167.300003,170.000000,170.000000,272884
2017-12-07,169.899994,170.899994,168.100006,169.300003,169.300003,112977
2017-12-08,169.550003,169.750000,168.149994,168.699997,168.699997,151911
2017-12-11,168.949997,169.100006,167.600006,168.000000,168.000000,99226
2017-12-12,168.399994,170.250000,167.000000,170.000000,170.000000,252453
2017-12-13,169.399994,170.300003,168.899994,169.600006,169.600006,505777
2017-12-14,169.949997,171.100006,168.500000,169.250000,169.250000,154964
2017-12-15,168.800003,171.050003,168.399994,169.850006,169.850006,655148
2017-12-18,170.750000,171.850006,169.850006,170.699997,170.699997,176606
2017-12-19,171.000000,171.899994,170.550003,171.600006,171.600006,96678
2017-12-20,171.850006,172.250000,170.750000,171.899994,171.899994,217104
2017-12-21,171.500000,172.750000,170.050003,172.750000,172.750000,436598
2017-12-22,171.100006,171.199997,168.750000,169.449997,169.449997,145182
2017-12-27,169.449997,170.399994,168.899994,170.050003,170.050003,114674
2017-12-28,169.899994,170.949997,169.649994,170.600006,170.600006,74636
2017-12-29,170.750000,170.899994,168.800003,169.000000,169.000000,78861
2018-01-02,169.000000,170.500000,168.050003,170.500000,170.500000,88227
2018-01-03,170.199997,173.000000,170.199997,172.399994,172.399994,88684
2018-01-04,173.500000,176.250000,173.000000,175.399994,175.399994,136801
2018-01-05,175.750000,177.350006,175.300003,177.350006,177.350006,134693
2018-01-08,177.199997,178.500000,176.250000,178.250000,178.250000,126313
2018-01-09,178.300003,179.750000,177.649994,179.149994,179.149994,122592
2018-01-10,178.399994,178.949997,175.149994,175.500000,175.500000,149657
2018-01-11,175.449997,176.750000,174.300003,175.500000,175.500000,110350
2018-01-12,175.550003,176.199997,173.949997,174.699997,174.699997,93621
2018-01-15,174.750000,174.750000,173.399994,173.699997,173.699997,56554
2018-01-16,174.649994,179.350006,174.649994,177.899994,177.899994,178234
