Date,Open,High,Low,Close,Adj Close,Volume
2017-09-11,null,null,null,null,null,null
2017-09-12,7.412000,7.433000,7.374000,7.401000,7.310719,18983786
2017-09-13,7.415000,7.484000,7.393000,7.435000,7.344305,19174879
2017-09-14,7.410000,7.459000,7.360000,7.439000,7.348256,13263567
2017-09-15,7.414000,7.474000,7.334000,7.377000,7.287012,52400382
2017-09-18,7.420000,7.474000,7.400000,7.414000,7.323561,48625209
2017-09-19,7.415000,7.496000,7.410000,7.460000,7.368999,36189311
2017-09-20,7.460000,7.485000,7.334000,7.378000,7.288000,29646250
2017-09-21,7.419000,7.545000,7.410000,7.504000,7.412463,21087600
2017-09-22,7.500000,7.554000,7.476000,7.507000,7.415426,13294063
2017-09-25,7.470000,7.492000,7.330000,7.366000,7.276146,21853564
2017-09-26,7.367000,7.387000,7.310000,7.346000,7.256391,57388617
2017-09-27,7.380000,7.558000,7.366000,7.502000,7.410487,20852654
2017-09-28,7.580000,7.590000,7.432000,7.444000,7.353195,26162435
2017-09-29,7.464000,7.561000,7.382000,7.561000,7.468768,44091034
2017-10-02,7.476000,7.520000,7.316000,7.382000,7.291951,187343675
2017-10-03,7.411000,7.448000,7.320000,7.448000,7.357146,262697254
2017-10-04,7.413000,7.427000,7.115000,7.179000,7.091427,74121105
2017-10-05,7.128000,7.482000,7.112000,7.378000,7.288000,64438567
2017-10-06,7.277000,7.368000,7.228000,7.319000,7.319000,22874783
2017-10-09,7.305000,7.397000,7.230000,7.236000,7.236000,18046035
2017-10-10,7.210000,7.222000,7.092000,7.190000,7.190000,236450426
2017-10-11,7.362000,7.386000,7.292000,7.365000,7.365000,76893722
2017-10-12,7.347000,7.380000,7.308000,7.366000,7.366000,46076715
2017-10-13,7.380000,7.393000,7.319000,7.332000,7.332000,13467402
2017-10-16,7.306000,7.310000,7.173000,7.204000,7.204000,44102169
2017-10-17,7.189000,7.295000,7.138000,7.213000,7.213000,51291568
2017-10-18,7.241000,7.285000,7.162000,7.275000,7.275000,21461356
2017-10-19,7.265000,7.298000,7.176000,7.220000,7.220000,30710478
2017-10-20,7.222000,7.368000,7.209000,7.318000,7.318000,25304510
2017-10-23,7.290000,7.300000,7.155000,7.182000,7.182000,35399548
2017-10-24,7.176000,7.296000,7.150000,7.262000,7.262000,26706339
2017-10-25,7.265000,7.403000,7.234000,7.255000,7.255000,32928467
2017-10-26,7.280000,7.507000,7.212000,7.385000,7.385000,33715078
2017-10-27,7.400000,7.450000,7.110000,7.193000,7.193000,61726072
2017-10-30,7.330000,7.441000,7.293000,7.410000,7.410000,31143825
2017-10-31,7.420000,7.542000,7.400000,7.513000,7.513000,32251104
2017-11-01,7.556000,7.580000,7.430000,7.478000,7.478000,23184416
2017-11-02,7.471000,7.517000,7.379000,7.461000,7.461000,17169691
2017-11-03,7.452000,7.452000,7.260000,7.330000,7.330000,21324319
2017-11-06,7.332000,7.332000,7.196000,7.261000,7.261000,31042875
2017-11-07,7.325000,7.347000,7.209000,7.211000,7.211000,17979064
2017-11-08,7.200000,7.218000,7.126000,7.218000,7.218000,31030172
2017-11-09,7.220000,7.312000,7.170000,7.175000,7.175000,43578004
2017-11-10,7.176000,7.228000,7.132000,7.147000,7.147000,23208291
2017-11-13,7.175000,7.175000,7.060000,7.129000,7.129000,16153564
2017-11-14,7.150000,7.189000,7.070000,7.104000,7.104000,14802748
2017-11-15,7.050000,7.224000,7.021000,7.196000,7.196000,23499067
2017-11-16,7.244000,7.333000,7.211000,7.250000,7.250000,23741337
2017-11-17,7.250000,7.293000,7.174000,7.190000,7.190000,22558136
2017-11-20,7.162000,7.223000,7.078000,7.119000,7.119000,18508569
2017-11-21,7.102000,7.135000,7.022000,7.022000,7.022000,34439165
2017-11-22,7.049000,7.156000,7.032000,7.048000,7.048000,15708759
2017-11-23,7.030000,7.134000,7.022000,7.069000,7.069000,22458599
2017-11-24,7.088000,7.173000,7.070000,7.129000,7.129000,14168403
2017-11-27,7.093000,7.185000,7.071000,7.071000,7.071000,10889976
2017-11-28,7.096000,7.141000,7.080000,7.137000,7.137000,14642446
2017-11-29,7.230000,7.322000,7.202000,7.279000,7.279000,37807623
2017-11-30,7.271000,7.362000,7.182000,7.182000,7.182000,35197988
2017-12-01,7.200000,7.206000,7.060000,7.074000,7.074000,32173350
2017-12-04,7.169000,7.200000,7.113000,7.160000,7.160000,14956110
2017-12-05,7.145000,7.229000,7.120000,7.182000,7.182000,14562804
2017-12-06,7.130000,7.150000,7.055000,7.076000,7.076000,17988117
2017-12-07,7.079000,7.165000,7.050000,7.165000,7.165000,25720473
2017-12-08,7.220000,7.335000,7.199000,7.210000,7.210000,20034987
2017-12-11,7.234000,7.283000,7.206000,7.222000,7.222000,12195297
2017-12-12,7.218000,7.238000,7.166000,7.214000,7.214000,19386271
2017-12-13,7.187000,7.253000,7.181000,7.196000,7.196000,24025194
2017-12-14,7.169000,7.234000,7.135000,7.137000,7.137000,17105560
2017-12-15,7.117000,7.182000,7.092000,7.149000,7.149000,35816473
2017-12-18,7.190000,7.270000,7.180000,7.252000,7.252000,21054086
2017-12-19,7.240000,7.320000,7.235000,7.281000,7.281000,11916198
2017-12-20,7.287000,7.303000,7.204000,7.272000,7.272000,14785831
2017-12-21,7.248000,7.405000,7.216000,7.372000,7.372000,19588584
2017-12-22,7.200000,7.340000,7.200000,7.264000,7.264000,19494042
2017-12-27,7.264000,7.280000,7.191000,7.214000,7.214000,10893895
2017-12-28,7.191000,7.219000,7.131000,7.147000,7.147000,11086399
2017-12-29,7.140000,7.167000,7.069000,7.112000,7.112000,15650276
2018-01-02,7.112000,7.169000,7.050000,7.082000,7.082000,16739343
2018-01-03,7.113000,7.120000,7.055000,7.094000,7.094000,14425017
2018-01-04,7.113000,7.274000,7.104000,7.221000,7.221000,21636964
2018-01-05,7.259000,7.282000,7.203000,7.253000,7.253000,13665667
2018-01-08,7.274000,7.293000,7.220000,7.235000,7.235000,13623906
2018-01-09,7.227000,7.284000,7.217000,7.262000,7.262000,14546942
2018-01-10,7.280000,7.380000,7.259000,7.350000,7.350000,29206121
2018-01-11,7.349000,7.450000,7.297000,7.344000,7.344000,28447094
2018-01-12,7.391000,7.448000,7.359000,7.448000,7.448000,21860572
2018-01-15,7.465000,7.516000,7.428000,7.481000,7.481000,19574432
2018-01-16,7.478000,7.510000,7.439000,7.477000,7.477000,18110019
2018-01-17,7.400000,7.457000,7.331000,7.398000,7.398000,21261370
2018-01-18,7.420000,7.429000,7.345000,7.379000,7.379000,17142419
2018-01-19,7.375000,7.448000,7.354000,7.400000,7.400000,15502621
2018-01-22,7.423000,7.535000,7.375000,7.495000,7.495000,24869495
2018-01-23,7.530000,7.569000,7.450000,7.490000,7.490000,29930004
2018-01-24,7.478000,7.533000,7.455000,7.480000,7.480000,14458879
2018-01-25,7.483000,7.601000,7.481000,7.601000,7.601000,19909292
2018-01-26,7.590000,7.650000,7.565000,7.634000,7.634000,14670963
2018-01-29,7.659000,7.674000,7.594000,7.643000,7.643000,23438452
2018-01-30,7.590000,7.617000,7.512000,7.563000,7.563000,22858509
2018-01-31,7.569000,7.632000,7.511000,7.568000,7.568000,21098911
2018-02-01,7.680000,7.730000,7.420000,7.639900,7.639900,25814905
2018-02-02,7.450000,7.467000,7.292000,7.354000,7.354000,35066327
2018-02-05,7.286000,7.322000,7.212000,7.255000,7.255000,20252138
2018-02-06,7.100000,7.230000,7.030000,7.085000,7.085000,33745565
2018-02-07,7.195000,7.268000,7.087000,7.227000,7.227000,24484234
2018-02-08,7.193000,7.287000,7.098000,7.131000,7.131000,27476160
2018-02-09,7.067000,7.098000,6.928000,7.009000,7.009000,63175950
2018-02-12,7.084000,7.153000,7.053000,7.097000,7.097000,20957507
2018-02-13,7.102000,7.124000,6.984000,6.998000,6.998000,25459770
2018-02-14,7.061000,7.077000,6.915000,6.968000,6.968000,33737532
2018-02-15,7.060000,7.140000,6.968000,6.993000,6.993000,18462918
2018-02-16,7.057000,7.077000,6.974000,7.059000,7.059000,24017531
2018-02-19,7.085000,7.117000,7.022000,7.022000,7.022000,10915409
2018-02-20,7.011000,7.071000,6.975000,7.026000,7.026000,16981677
2018-02-21,7.012000,7.030000,6.936000,6.970000,6.970000,14858037
2018-02-22,6.930000,6.978000,6.852000,6.970000,6.970000,26565691
2018-02-23,6.967000,6.968000,6.890000,6.910000,6.910000,21212909
2018-02-26,6.945000,6.960000,6.900000,6.959000,6.959000,15224216
2018-02-27,6.981000,6.998000,6.922000,6.950000,6.950000,14425654
2018-02-28,6.910000,6.940000,6.871000,6.890000,6.890000,21102558
2018-03-01,6.851000,6.880000,6.780000,6.790000,6.790000,30156640
2018-03-02,6.750000,6.750000,6.640000,6.642000,6.642000,28250550
2018-03-05,6.607000,6.673000,6.571000,6.610000,6.610000,20467163
2018-03-06,6.668000,6.764000,6.647000,6.650000,6.650000,19602466
2018-03-07,6.632000,6.649000,6.600000,6.630000,6.630000,15837388
2018-03-08,6.657000,6.717000,6.618000,6.652000,6.652000,18402445
2018-03-09,6.668000,6.702000,6.637000,6.646000,6.646000,15448901
