Date,Open,High,Low,Close,Adj Close,Volume
2017-09-11,null,null,null,null,null,null
2017-09-12,24.865000,24.930000,24.430000,24.430000,24.250587,294179
2017-09-13,24.434999,24.700001,24.254999,24.690001,24.508678,812989
2017-09-14,24.690001,24.820000,24.525000,24.605000,24.424301,404095
2017-09-15,24.105000,24.299999,23.415001,23.780001,23.605362,1850598
2017-09-18,23.730000,23.934999,23.500000,23.750000,23.575581,696126
2017-09-19,23.730000,23.820000,23.615000,23.770000,23.595434,659725
2017-09-20,23.709999,23.754999,23.344999,23.415001,23.243042,609117
2017-09-21,23.549999,23.610001,23.315001,23.514999,23.342306,369105
2017-09-22,23.540001,23.719999,23.405001,23.549999,23.377048,363270
2017-09-25,23.570000,23.865000,23.570000,23.865000,23.689737,633077
2017-09-26,23.875000,23.945000,23.695000,23.905001,23.729445,445907
2017-09-27,23.879999,24.350000,23.865000,24.264999,24.086798,1333428
2017-09-28,24.360001,24.625000,24.225000,24.584999,24.404448,563410
2017-09-29,24.600000,24.764999,24.430000,24.650000,24.468971,854415
2017-10-02,24.315001,24.735001,24.235001,24.635000,24.454082,769009
2017-10-03,24.600000,24.674999,24.370001,24.575001,24.394524,672629
2017-10-04,24.510000,24.610001,23.719999,23.719999,23.545801,1357674
2017-10-05,23.740000,24.365000,23.730000,24.264999,24.086798,1245156
2017-10-06,24.320000,24.754999,24.240000,24.434999,24.255550,774473
2017-10-09,24.299999,24.709999,24.200001,24.200001,24.022278,484222
2017-10-10,24.075001,24.245001,23.705000,23.950001,23.774113,646960
2017-10-11,24.090000,24.525000,24.049999,24.219999,24.042130,599023
2017-10-12,24.174999,24.455000,24.155001,24.250000,24.071909,416206
2017-10-13,24.415001,24.430000,24.049999,24.129999,23.952789,350428
2017-10-16,24.084999,24.340000,24.049999,24.240000,24.061983,351030
2017-10-17,24.155001,24.565001,24.049999,24.424999,24.245623,1125581
2017-10-18,24.495001,24.665001,24.344999,24.565001,24.384596,435410
2017-10-19,24.465000,24.510000,24.075001,24.285000,24.106651,423243
2017-10-20,24.389999,24.389999,24.080000,24.315001,24.136433,712127
2017-10-23,24.285000,24.344999,24.070000,24.165001,23.987534,349050
2017-10-24,24.160000,24.565001,24.120001,24.325001,24.146358,1617833
2017-10-25,24.235001,24.525000,24.115000,24.215000,24.037167,487291
2017-10-26,24.139999,24.709999,23.825001,24.690001,24.508678,875546
2017-10-27,24.709999,25.025000,24.660000,24.870001,24.687357,653179
2017-10-30,25.025000,25.950001,24.754999,25.825001,25.635344,753559
2017-10-31,26.215000,26.900000,25.969999,26.875000,26.677631,1035534
2017-11-01,27.000000,27.730000,26.750000,26.945000,26.747116,1089880
2017-11-02,26.500000,26.610001,25.290001,25.805000,25.615490,1453831
2017-11-03,25.930000,26.785000,25.719999,26.725000,26.528734,766682
2017-11-06,26.725000,27.075001,26.320000,26.400000,26.206120,858218
2017-11-07,26.420000,26.520000,26.059999,26.135000,25.943066,773204
2017-11-08,26.184999,26.270000,25.830000,25.920000,25.729645,659774
2017-11-09,25.965000,26.195000,25.490000,25.695000,25.506296,671418
2017-11-10,25.590000,25.840000,25.219999,25.219999,25.034784,514084
2017-11-13,25.305000,25.459999,25.045000,25.285000,25.099308,398343
2017-11-14,25.385000,25.645000,25.330000,25.440001,25.253170,497745
2017-11-15,25.260000,25.315001,24.889999,25.000000,24.816401,481218
2017-11-16,25.120001,25.625000,25.055000,25.270000,25.084419,709203
2017-11-17,25.219999,25.480000,25.094999,25.190001,25.005007,1108980
2017-11-20,25.075001,25.485001,24.955000,25.400000,25.213463,593740
2017-11-21,25.325001,25.514999,25.205000,25.250000,25.064566,1578419
2017-11-22,25.190001,25.510000,25.125000,25.125000,24.940483,1952792
2017-11-23,25.125000,25.334999,25.000000,25.004999,24.821363,404749
2017-11-24,25.025000,25.094999,24.719999,24.719999,24.538458,2378499
2017-11-27,24.650000,24.850000,24.495001,24.495001,24.315111,10415641
2017-11-28,24.530001,24.785000,24.475000,24.570000,24.389559,698790
2017-11-29,24.785000,24.930000,24.540001,24.555000,24.374670,1706325
2017-11-30,24.514999,24.610001,24.365000,24.510000,24.330000,718554
2017-12-01,24.600000,24.600000,23.825001,23.825001,23.825001,1348426
2017-12-04,24.030001,24.655001,24.004999,24.330000,24.330000,10525901
2017-12-05,24.174999,24.475000,24.155001,24.400000,24.400000,742336
2017-12-06,24.160000,24.495001,23.870001,24.465000,24.465000,597888
2017-12-07,24.434999,24.709999,24.219999,24.709999,24.709999,898606
2017-12-08,24.825001,24.865000,24.065001,24.080000,24.080000,623289
2017-12-11,24.125000,24.455000,24.065001,24.430000,24.430000,1621896
2017-12-12,24.500000,24.745001,24.340000,24.730000,24.730000,638220
2017-12-13,24.680000,25.000000,24.625000,24.754999,24.754999,2229055
2017-12-14,24.820000,24.840000,24.320000,24.320000,24.320000,1539925
2017-12-15,24.225000,24.350000,24.055000,24.215000,24.215000,1291085
2017-12-18,24.344999,24.830000,24.344999,24.740000,24.740000,723192
2017-12-19,24.670000,24.730000,24.475000,24.525000,24.525000,356121
2017-12-20,24.594999,24.629999,24.285000,24.424999,24.424999,2100176
2017-12-21,24.325001,24.730000,24.240000,24.655001,24.655001,406397
2017-12-22,24.230000,24.855000,24.205000,24.790001,24.790001,356146
2017-12-27,24.790001,24.940001,24.684999,24.799999,24.799999,265509
2017-12-28,24.785000,24.805000,24.639999,24.650000,24.650000,355742
2017-12-29,24.510000,24.680000,24.424999,24.424999,24.424999,413281
2018-01-02,24.424999,24.684999,24.295000,24.660000,24.660000,974636
2018-01-03,24.830000,25.139999,24.760000,25.010000,25.010000,412897
2018-01-04,24.969999,25.650000,24.969999,25.590000,25.590000,1729117
2018-01-05,25.650000,26.139999,25.650000,26.139999,26.139999,915979
2018-01-08,26.260000,26.299999,26.120001,26.209999,26.209999,1050452
2018-01-09,26.209999,26.730000,26.150000,26.549999,26.549999,604068
2018-01-10,26.500000,26.610001,26.379999,26.549999,26.549999,502291
2018-01-11,26.650000,26.650000,26.299999,26.500000,26.500000,686456
2018-01-12,26.520000,26.549999,26.370001,26.469999,26.469999,544425
2018-01-15,26.450001,26.520000,25.930000,26.180000,26.180000,582109
2018-01-16,25.910000,26.410000,25.820000,26.330000,26.330000,558813
2018-01-17,26.190001,26.379999,25.990000,26.070000,26.070000,681308
2018-01-18,26.170000,26.309999,25.590000,25.719999,25.719999,495989
2018-01-19,25.620001,26.280001,25.620001,26.260000,26.260000,561963
