Date,Open,High,Low,Close,Adj Close,Volume
2017-09-11,null,null,null,null,null,null
2017-09-12,9.166000,9.170000,9.080000,9.103000,8.679309,14872357
2017-09-13,9.076000,9.145000,9.038000,9.127000,8.702191,16340138
2017-09-14,9.117000,9.117000,9.017000,9.085000,8.662147,13792715
2017-09-15,9.081000,9.117000,9.041000,9.092000,8.668820,92852740
2017-09-18,9.120000,9.213000,9.111000,9.159000,8.732702,24832782
2017-09-19,9.150000,9.224000,9.123000,9.188000,8.760353,24980411
2017-09-20,9.183000,9.249000,9.101000,9.140000,8.714587,15443097
2017-09-21,9.140000,9.157000,9.034000,9.074000,8.651660,17104193
2017-09-22,9.042000,9.068000,8.984000,9.047000,8.625916,49529860
2017-09-25,9.040000,9.081000,8.980000,9.005000,8.585870,12616876
2017-09-26,9.024000,9.058000,8.943000,8.974000,8.556314,38269271
2017-09-27,9.130000,9.265000,9.084000,9.245000,8.814700,30119981
2017-09-28,9.240000,9.247000,9.170000,9.184000,8.756538,15416738
2017-09-29,9.227000,9.235000,9.089000,9.192000,8.764167,24617247
2017-10-02,9.105000,9.147000,9.005000,9.051000,8.629729,17333212
2017-10-03,9.055000,9.080000,8.944000,9.005000,8.585870,23037878
2017-10-04,9.010000,9.010000,8.725000,8.762000,8.354180,27652690
2017-10-05,8.743000,9.059000,8.731000,9.020000,8.600172,29698567
2017-10-06,8.978000,9.036000,8.921000,9.001000,8.582057,12064771
2017-10-09,9.013000,9.117000,9.000000,9.087000,8.664053,78469642
2017-10-10,9.033000,9.067000,8.970000,9.013000,8.593497,13750705
2017-10-11,9.140000,9.262000,9.100000,9.220000,8.790864,45264327
2017-10-12,9.203000,9.230000,9.131000,9.164000,8.737470,11630526
2017-10-13,9.191000,9.209000,9.140000,9.204000,8.775608,7968497
2017-10-16,9.190000,9.190000,9.025000,9.043000,8.622102,16568620
2017-10-17,9.015000,9.079000,8.960000,8.975000,8.557267,15558573
2017-10-18,9.016000,9.016000,8.882000,8.966000,8.548685,18521697
2017-10-19,8.915000,8.960000,8.814000,8.826000,8.415202,19175446
2017-10-20,8.880000,8.885000,8.800000,8.864000,8.451433,21724793
2017-10-23,8.880000,8.916000,8.805000,8.838000,8.426644,19812104
2017-10-24,8.813000,8.906000,8.788000,8.825000,8.414248,19950449
2017-10-25,8.860000,8.959000,8.827000,8.848000,8.436178,17111800
2017-10-26,8.750000,8.960000,8.600000,8.799000,8.389458,41459932
2017-10-27,8.801000,8.836000,8.659000,8.692000,8.287438,22982136
2017-10-30,8.850000,8.937000,8.800000,8.903000,8.488618,23785380
2017-10-31,8.934000,9.050000,8.875000,9.006000,8.586823,18805626
2017-11-01,9.080000,9.113000,8.994000,9.041000,8.620195,22100827
2017-11-02,9.060000,9.123000,8.970000,9.030000,8.609706,11846016
2017-11-03,9.038000,9.038000,8.837000,8.891000,8.477176,19042855
2017-11-06,8.889000,8.889000,8.784000,8.832000,8.420922,11684647
2017-11-07,8.885000,8.957000,8.728000,8.779000,8.370389,14515647
2017-11-08,8.807000,8.820000,8.702000,8.723000,8.316996,16725384
2017-11-09,8.721000,8.760000,8.626000,8.671000,8.267416,14808032
2017-11-10,8.688000,8.711000,8.604000,8.612000,8.211164,11987539
2017-11-13,8.660000,8.662000,8.463000,8.532000,8.134886,13500562
2017-11-14,8.560000,8.563000,8.453000,8.475000,8.080540,11596333
